Section	Faculty Code	Faculty Name	Room	Day	Time
A	SaKar	Saqif Kaisar	325	sat	08:30 - 09:50
B			403	sat	11:11 - 12:30
C			330	sat	12:31 - 13:50
D	SSSk	Samin Sharaf Somik	322	sat	13:51 - 15:10
E			325	sun	08:30 - 09:50
F	SaKar	Saqif Kaisar	401	sun	09:51 - 11:10
G	MBAd	Md. Benzir Ahmed	401	sun	11:11 - 12:30
H	SSSk	Samin Sharaf Somik	401	sun	12:31 - 13:50
I	MBAd	Md. Benzir Ahmed	325	sun	13:51 - 15:10
J			330	sun	15:11 - 16:30
K	MMIN	Md. Muhaiminul Islam Nafi	401	sat	09:51 - 11:10
L			323	sat	15:11 - 16:30
